"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NM_001271359"	0	1	3.82952623809503	3.83711456718613	1216.10904211253	316.925817479213
"NM_027560"	0	1	0.262748739837184	0.262546570947323	480.763652560039	1831.18379859088
"NM_001276461"	0	1	0.223737681849558	0.223602924838674	1094.79902742727	4896.20961884961
"NR_003961"	0	1	0.243534116114159	0.243374431007823	979.939369320022	4026.49913352735
"NM_030121"	0	1	0.257869144460867	0.25752191359959	467.811434068417	1816.61767074577
"NM_001287180"	0	1	0.252997522264981	0.252465164594362	301.099004065237	1192.66545108265
"NM_001310066"	0	1	0.275307462207948	0.275195154643675	1509.33777206932	5484.63515672027
"NM_001288612"	0	1	0.280442951094609	0.280244737914888	864.70685474799	3085.56748909673
"NM_001293667"	0	1	0.26232084211345	0.262214170561669	1541.26030959446	5877.8962408909
"NM_001293668"	0	1	0.228806934785501	0.228699112848501	1390.34025211148	6079.37629404521
"NM_001110140"	0	1	4.2973067479355	4.30060134957756	3658.37478095191	850.65819348677
"NM_020615"	0	1	4.17259172240042	4.18515091004262	898.592276016646	214.702036753651
"NM_001161419"	0	1	0.239803859162342	0.2387942588825	152.818318048378	639.989968020914
"NM_007506"	0	1	0.258936402020037	0.25801850939213	177.049084684768	686.216290904105
"NM_175015"	0	1	0.305115684212412	0.304006077533852	161.80898293009	532.278644499455
"NM_020582"	0	1	0.242216374087069	0.241229464988604	93.000403694537	385.558171363025
"NM_026536"	0	1	0.249591326328896	0.249276236220397	298.100357847083	1195.89363833763
"NM_001145879"	0	1	0.198413382844703	0.1980068683527	196.049455447541	990.154922452641
"NM_133764"	0	1	0.248319741013053	0.248065987611571	368.985955532964	1487.48112720261
"NM_023721"	0	1	3.9106739803477	3.91575007256559	1127.47854053847	287.926798734384
"NM_009125"	0	1	0.248690891870236	0.248582789102588	867.523010459609	3489.90582881301
"NM_001301649"	0	1	3.91924897702293	3.92768318627943	1155.48206762675	294.181769759646
"NM_011924"	0	1	4.169169084597	4.17114407609371	3360.98977500711	805.764078692265
"NM_001286507"	0	1	0.275384877644073	0.27513411088183	404.295256210002	1469.47429954456
"NM_018745"	0	1	0.264618258481104	0.264452361128634	996.369056900161	3767.69716906364
"NR_045850"	0	1	0.248077900170965	0.247808477429342	347.276474292919	1401.42096755817
"NR_045454"	0	1	0.253454568354248	0.252998832806699	208.100966637007	822.566785545934
"NR_030695"	0	1	3.89904824448526	3.9024592275439	1665.50046665507	426.7748475904
"NM_020026"	0	1	0.256057532248813	0.255856782540921	476.10786215894	1860.86645373556
"NM_177897"	0	1	4.49156254182079	4.49469141240835	2518.62489857817	560.347690324424
"NM_019835"	0	1	0.257528028524172	0.257414019747976	841.786446149479	3270.19434618771
"NR_033565"	0	1	0.276734045903608	0.27636366773856	270.988387011816	980.57615746908
"NR_002445"	0	1	0.286402858802865	0.284748048177827	104.358468495077	366.519179613193
"NR_002445_1"	0	1	3.3972919108612	3.41526870801849	387.102535485859	113.337607049771
"NM_183150"	0	1	0.23299509130927	0.232838433802232	572.436248018766	2458.54565454022
"NM_001142968"	0	1	0.253038487388236	0.252864670812585	545.6577702727	2157.93388563332
"NM_001243888"	0	1	0.249378528343258	0.248930968956718	354.846689806528	1425.51247032079
"NM_001290513"	0	1	0.257880252641254	0.25768752711689	504.599798693521	1958.21360647136
"NR_015528"	0	1	0.24483153893258	0.244481228720124	264.638646184465	1082.48065815776
"NR_033220"	0	1	4.07821475358428	4.08199719347076	1668.13076010832	408.647988000713
"NR_131060"	0	1	4.17231271977659	4.17426493815144	3406.11606810471	815.972243238519
"NM_001004192"	0	1	4.30600302646419	4.31884230802669	558.412595256818	129.289139776179
"NM_001256180"	0	1	0.238630475847223	0.237921942568925	217.296885375554	913.343695036349
"NM_198423"	0	1	4.12534824175564	4.12609674187126	8651.24397701998	2096.70622316264
"NM_001285983"	0	1	3.82331615081978	3.82564921602098	3934.9610034697	1028.56600926685
"NM_020486"	0	1	0.234317133149895	0.234119453011915	455.35170676726	1944.98731188115
"NM_026602"	0	1	0.236696546815692	0.23637029566704	277.686999883711	1174.82882270421
"NM_001243053"	0	1	3.664394855909	3.67086235874107	1285.37673460048	350.149338319975
"NM_029410"	0	1	0.280375654247794	0.279967000932722	247.55587363445	884.25804876887
